City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,60.91,48,40,36.82,scattered clouds
1,Egvekinot,RU,66.3167,-179.1667,12.34,97,100,2.17,light snow
2,Saldanha,ZA,-33.0117,17.9442,71.65,71,50,33.8,scattered clouds
3,Upernavik,GL,72.7868,-56.1549,-1.59,92,100,2.84,overcast clouds
4,Cherskiy,RU,68.75,161.3,-19.68,95,100,1.23,overcast clouds
5,Bonavista,CA,48.6499,-53.1147,25.97,60,40,3.38,scattered clouds
6,Ushuaia,AR,-54.8,-68.3,58.66,47,20,26.46,few clouds
7,Moree,AU,-29.4667,149.85,78.57,52,4,13.56,clear sky
8,Atuona,PF,-9.8,-139.0333,78.71,79,97,20.42,overcast clouds
9,Port Alfred,ZA,-33.5906,26.891,68.18,90,39,5.01,light rain
10,Cape Town,ZA,-33.9258,18.4232,68.11,54,40,27.63,scattered clouds
11,New Norfolk,AU,-42.7826,147.0587,60.3,68,48,2.26,scattered clouds
12,Gat,IL,31.61,34.7642,65.8,21,12,4.88,few clouds
13,Plettenberg Bay,ZA,-34.0527,23.3716,63.36,85,100,13.44,light rain
14,Saint-Philippe,RE,-21.3585,55.7679,80.19,90,100,2.1,overcast clouds
15,Pisco,PE,-13.7,-76.2167,75.25,83,0,11.5,clear sky
16,Narsaq,GL,60.9167,-46.05,21.29,69,100,22.86,overcast clouds
17,Yellowknife,CA,62.456,-114.3525,-14.28,76,20,17.27,few clouds
18,Shimoda,JP,34.6667,138.95,34.11,73,8,21.74,clear sky
19,Kapaa,US,22.0752,-159.319,70.12,80,20,10.36,few clouds
20,Corrales,US,35.2378,-106.6067,43.0,44,0,15.01,clear sky
21,Wunsiedel,DE,50.0333,12.0167,26.35,88,49,1.01,scattered clouds
22,Atar,MR,20.5169,-13.0499,72.64,25,65,12.91,broken clouds
23,Dingle,PH,10.9995,122.6711,74.43,93,94,12.55,light rain
24,Mataura,NZ,-46.1927,168.8643,48.33,98,0,0.85,clear sky
25,Gemena,CD,3.25,19.7667,86.95,34,97,1.92,overcast clouds
26,Hermanus,ZA,-34.4187,19.2345,65.8,70,100,17.2,overcast clouds
27,Karaton,ID,-6.3424,106.1045,74.1,96,100,4.0,overcast clouds
28,Kargasok,RU,59.0556,80.8572,20.8,96,100,7.16,light snow
29,Medina,SA,24.4686,39.6142,75.63,31,0,8.05,clear sky
30,Busselton,AU,-33.65,115.3333,57.78,72,29,14.03,scattered clouds
31,Marrakesh,MA,31.6315,-8.0083,59.07,41,40,9.22,scattered clouds
32,Guerrero Negro,MX,27.9769,-114.0611,61.25,47,94,4.52,overcast clouds
33,Lebu,CL,-37.6167,-73.65,64.76,63,0,20.54,clear sky
34,Vaini,TO,-21.2,-175.2,77.16,94,40,5.75,light rain
35,Gharghoda,IN,22.1667,83.35,68.38,43,0,3.56,clear sky
